stage,epoch,step,loss,learning_rate,timestamp
pretrain,1,100000,4.11755753,0.000493153522801,2026-04-28T00:30:37
pretrain,1,100500,1.15364671,0.000493085240593,2026-04-28T00:31:18
pretrain,1,101000,2.32144451,0.000493016624884,2026-04-28T00:31:57
pretrain,1,101500,2.44631743,0.000492947675781,2026-04-28T00:32:35
pretrain,1,102000,3.21517253,0.000492878393388,2026-04-28T00:33:12
pretrain,1,102500,2.75648403,0.000492808777811,2026-04-28T00:33:51
pretrain,1,103000,2.77429152,0.000492738829157,2026-04-28T00:34:30
pretrain,1,103500,2.38906670,0.000492668547533,2026-04-28T00:35:07
pretrain,1,104000,2.39786196,0.000492597933047,2026-04-28T00:35:44
pretrain,1,104500,2.50337958,0.000492526985805,2026-04-28T00:36:23
pretrain,1,105000,3.91297746,0.000492455705917,2026-04-28T00:37:00
pretrain,1,105500,2.81913948,0.000492384093492,2026-04-28T00:37:40
pretrain,1,106000,2.75272179,0.000492312148639,2026-04-28T00:38:19
pretrain,1,106500,3.14786720,0.000492239871469,2026-04-28T00:38:58
pretrain,1,107000,2.86499095,0.000492167262091,2026-04-28T00:39:37
pretrain,1,107500,2.58567309,0.000492094320617,2026-04-28T00:40:15
pretrain,1,108000,2.44264579,0.000492021047159,2026-04-28T00:40:54
pretrain,1,108500,3.00657511,0.000491947441828,2026-04-28T00:41:33
pretrain,1,109000,3.14762568,0.000491873504736,2026-04-28T00:42:11
pretrain,1,109500,2.68955040,0.000491799235998,2026-04-28T00:42:50
pretrain,1,110000,2.99935198,0.000491724635727,2026-04-28T00:43:28
pretrain,1,110500,2.20714331,0.000491649704036,2026-04-28T00:44:09
pretrain,1,111000,4.50237751,0.000491574441041,2026-04-28T00:44:48
pretrain,1,111500,2.55270791,0.000491498846856,2026-04-28T00:45:27
pretrain,1,112000,2.58891225,0.000491422921597,2026-04-28T00:46:05
pretrain,1,112500,3.14045382,0.00049134666538,2026-04-28T00:46:44
pretrain,1,113000,2.34215045,0.000491270078322,2026-04-28T00:47:23
pretrain,1,113500,2.81252217,0.00049119316054,2026-04-28T00:48:02
pretrain,1,114000,1.65165305,0.000491115912151,2026-04-28T00:48:41
pretrain,1,114500,2.74676156,0.000491038333273,2026-04-28T00:49:19
